French,English
partie,part
histoire,history
seulement,only
aide,help
demande,request
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
bébé,baby
longtemps,long time
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
point,point
venu,came
devant,in front of
vers,towards
demandé,request
aujourd'hui,today
enfin,finally
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
donne,given
fin,end
gros,large
plutôt,rather
aura,will have
filles,girls
